timestamp,iteration,success,latency_ms,http_status,model,chunks_received,total_content_length,error_message
2026-01-31T09:36:14.684652,141,True,1059.55,200,gemini-2.5-flash-lite,7,1633,
2026-01-31T09:37:17.382038,142,True,1104.23,200,gemini-2.5-flash-lite,7,1621,
2026-01-31T09:38:19.367073,143,True,1055.97,200,gemini-2.5-flash-lite,7,1582,
2026-01-31T09:39:21.750736,144,True,892.95,200,gemini-2.5-flash-lite,7,1672,
2026-01-31T09:40:23.738746,145,True,733.68,200,gemini-2.5-flash-lite,7,1616,
2026-01-31T09:41:26.258113,146,True,1202.77,200,gemini-2.5-flash-lite,7,1630,
2026-01-31T09:42:28.526931,147,True,1146.21,200,gemini-2.5-flash-lite,7,1567,
2026-01-31T09:43:30.666189,148,True,937.30,200,gemini-2.5-flash-lite,7,1613,
2026-01-31T09:44:33.057851,149,True,1060.38,200,gemini-2.5-flash-lite,7,1635,
2026-01-31T09:45:35.644784,150,True,1147.83,200,gemini-2.5-flash-lite,7,1661,
2026-01-31T09:46:38.017530,151,True,1039.25,200,gemini-2.5-flash-lite,7,1647,
2026-01-31T09:47:40.458987,152,True,1268.94,200,gemini-2.5-flash-lite,7,1678,
2026-01-31T09:48:42.589688,153,True,871.65,200,gemini-2.5-flash-lite,7,1601,
2026-01-31T09:49:45.093152,154,True,1280.62,200,gemini-2.5-flash-lite,7,1617,
2026-01-31T09:50:47.509924,155,True,1168.98,200,gemini-2.5-flash-lite,7,1662,
2026-01-31T09:51:49.356515,156,True,869.64,200,gemini-2.5-flash-lite,7,1547,
2026-01-31T09:52:51.356007,157,True,981.18,200,gemini-2.5-flash-lite,7,1646,
2026-01-31T09:53:53.732516,158,True,974.85,200,gemini-2.5-flash-lite,7,1586,
2026-01-31T09:54:56.217742,159,True,1116.12,200,gemini-2.5-flash-lite,7,1615,
2026-01-31T09:55:58.875638,160,True,1312.63,200,gemini-2.5-flash-lite,7,1614,
2026-01-31T09:57:00.995629,161,True,1157.11,200,gemini-2.5-flash-lite,7,1547,
2026-01-31T09:58:03.727146,162,True,1430.25,200,gemini-2.5-flash-lite,7,1633,
2026-01-31T09:59:06.417771,163,True,1359.41,200,gemini-2.5-flash-lite,7,1651,
2026-01-31T10:00:08.798871,164,True,1141.10,200,gemini-2.5-flash-lite,7,1639,
2026-01-31T10:01:11.381961,165,True,1229.93,200,gemini-2.5-flash-lite,7,1637,
2026-01-31T10:02:13.593582,166,True,1021.88,200,gemini-2.5-flash-lite,7,1653,
2026-01-31T10:03:15.815940,167,True,1208.51,200,gemini-2.5-flash-lite,7,1622,
2026-01-31T10:04:17.797604,168,True,1061.03,200,gemini-2.5-flash-lite,7,1587,
2026-01-31T10:05:20.093408,169,True,992.89,200,gemini-2.5-flash-lite,7,1574,
2026-01-31T10:06:22.508035,170,True,1021.10,200,gemini-2.5-flash-lite,7,1591,
2026-01-31T10:07:25.462704,171,True,1781.89,200,gemini-2.5-flash-lite,7,1610,
2026-01-31T10:08:27.819959,172,True,1150.16,200,gemini-2.5-flash-lite,7,1587,
2026-01-31T10:09:29.945035,173,True,892.82,200,gemini-2.5-flash-lite,7,1646,
2026-01-31T10:10:32.466158,174,True,733.99,200,gemini-2.5-flash-lite,7,1644,
2026-01-31T10:11:34.822419,175,True,1080.01,200,gemini-2.5-flash-lite,7,1648,
2026-01-31T10:12:37.339744,176,True,1273.89,200,gemini-2.5-flash-lite,7,1617,
2026-01-31T10:13:39.263754,177,True,998.90,200,gemini-2.5-flash-lite,7,1588,
2026-01-31T10:14:41.765611,178,True,1270.59,200,gemini-2.5-flash-lite,7,1552,
2026-01-31T10:15:44.304730,179,True,1116.31,200,gemini-2.5-flash-lite,7,1590,
2026-01-31T10:16:46.782653,180,True,1155.35,200,gemini-2.5-flash-lite,7,1645,
2026-01-31T10:17:49.409590,181,True,1070.74,200,gemini-2.5-flash-lite,7,1611,
2026-01-31T10:18:51.893374,182,True,1024.29,200,gemini-2.5-flash-lite,7,1597,
2026-01-31T10:19:54.032687,183,True,970.02,200,gemini-2.5-flash-lite,7,1532,
2026-01-31T10:20:56.718667,184,True,1545.94,200,gemini-2.5-flash-lite,7,1529,
2026-01-31T10:21:58.915020,185,True,772.64,200,gemini-2.5-flash-lite,7,1609,
2026-01-31T10:23:01.230558,186,True,1135.46,200,gemini-2.5-flash-lite,7,1633,
2026-01-31T10:24:03.482886,187,True,961.08,200,gemini-2.5-flash-lite,7,1650,
2026-01-31T10:25:06.326161,188,True,1506.29,200,gemini-2.5-flash-lite,7,1616,
2026-01-31T10:26:09.040940,189,True,1121.61,200,gemini-2.5-flash-lite,7,1638,
2026-01-31T10:27:11.766935,190,True,1247.59,200,gemini-2.5-flash-lite,7,1595,
2026-01-31T10:28:13.702076,191,True,913.85,200,gemini-2.5-flash-lite,7,1597,
2026-01-31T10:29:16.211729,192,True,993.93,200,gemini-2.5-flash-lite,7,1589,
2026-01-31T10:30:18.937102,193,True,1283.34,200,gemini-2.5-flash-lite,7,1562,
2026-01-31T10:31:21.024130,194,True,818.04,200,gemini-2.5-flash-lite,7,1633,
2026-01-31T10:32:22.841865,195,True,833.27,200,gemini-2.5-flash-lite,7,1586,
2026-01-31T10:33:25.402284,196,True,1142.42,200,gemini-2.5-flash-lite,7,1637,
2026-01-31T10:34:28.758385,197,True,1255.85,200,gemini-2.5-flash-lite,7,1627,
2026-01-31T10:35:31.159902,198,True,1184.81,200,gemini-2.5-flash-lite,7,1642,
2026-01-31T10:36:33.726119,199,True,1402.47,200,gemini-2.5-flash-lite,7,1573,
2026-01-31T10:37:36.316963,200,True,1196.28,200,gemini-2.5-flash-lite,7,1631,
2026-01-31T10:38:38.557788,201,True,1174.11,200,gemini-2.5-flash-lite,7,1646,
2026-01-31T10:39:41.068495,202,True,1130.52,200,gemini-2.5-flash-lite,7,1669,
2026-01-31T10:40:43.167952,203,True,723.59,200,gemini-2.5-flash-lite,7,1668,
2026-01-31T10:41:45.548538,204,True,1093.18,200,gemini-2.5-flash-lite,7,1604,
2026-01-31T10:42:48.366097,205,True,1200.73,200,gemini-2.5-flash-lite,7,1602,
2026-01-31T10:43:50.356523,206,True,721.20,200,gemini-2.5-flash-lite,7,1581,
2026-01-31T10:44:52.755498,207,True,1210.67,200,gemini-2.5-flash-lite,7,1644,
